source,target,type
0,1,-
0,25,-
0,45,-
1,0,-
1,11,+
1,21,+
1,25,-
1,31,+
1,33,-
1,34,-
1,36,+
1,37,+
1,38,-
1,39,+
1,40,+
1,41,+
1,45,-
1,47,-
1,48,+
1,50,+
1,53,+
1,54,+
1,55,+
1,58,+
2,21,-
2,28,+
2,58,+
3,9,+
3,16,+
3,21,+
3,28,+
3,39,+
3,45,-
3,58,+
4,0,+
4,5,+
4,6,+
4,25,+
4,33,+
4,38,+
4,45,+
4,47,+
5,4,+
5,49,+
5,20,+
5,21,-
5,32,+
5,39,-
5,58,-
6,4,+
6,7,-
6,23,+
6,57,+
7,6,-
7,21,-
7,28,+
7,36,-
7,37,-
7,39,-
7,45,+
7,47,-
7,38,+
8,21,+
8,25,-
8,28,+
8,37,+
8,39,+
8,51,+
8,55,+
8,56,+
8,58,+
9,3,+
9,39,+
9,45,-
10,11,+
10,21,+
10,39,+
10,58,+
10,59,+
11,1,+
11,10,+
11,13,-
11,14,-
11,21,+
11,22,+
11,25,-
11,31,+
11,36,+
11,36,+
11,37,+
11,38,-
11,39,+
11,40,+
11,41,+
11,42,-
11,45,-
11,46,-
11,47,+
11,49,-
11,49,-
11,50,+
11,51,+
11,52,+
11,53,+
11,54,+
11,55,+
11,56,+
11,57,+
11,58,+
12,12,+
12,14,+
12,39,-
12,22,-
13,11,-
13,12,+
13,13,+
13,39,-
13,41,-
14,11,-
14,12,+
14,13,+
14,39,-
15,1,-
15,11,+
15,22,-
15,36,-
15,38,-
15,39,-
15,40,-
15,47,+
15,49,+
15,53,-
15,54,-
16,2,+
16,3,+
16,21,+
16,28,+
16,29,+
16,39,+
16,55,+
16,58,+
17,11,+
18,11,-
18,33,+
18,39,-
18,49,+
18,50,-
18,57,+
19,4,+
19,20,+
19,45,+
20,19,+
20,5,+
20,32,+
20,39,-
20,45,+
21,39,+
21,58,+
21,54,+
21,56,+
21,47,+
21,29,+
21,28,+
21,45,-
21,38,-
21,32,-
21,15,-
21,20,-
22,45,-
22,60,+
22,63,+
22,64,+
22,58,+
22,21,+
22,47,+
22,39,+
22,28,+
22,35,+
22,36,+
22,11,+
23,45,-
23,24,+
24,23,+
24,39,+
24,8,+
24,9,+
24,21,+
25,45,+
25,33,+
25,34,+
25,1,-
25,39,-
25,48,-
25,56,-
25,59,-
26,27,+
26,27,+
26,28,+
27,26,+
27,45,-
27,28,+
28,39,+
28,45,-
28,21,+
28,58,+
28,29,+
28,32,-
29,28,+
29,39,+
29,21,+
29,58,+
30,29,+
31,38,-
31,45,-
31,40,+
31,1,+
31,48,+
31,39,+
31,36,+
32,5,+
32,20,+
32,33,+
32,34,+
32,39,-
32,21,-
32,58,-
33,32,+
33,34,+
33,45,+
33,39,-
33,59,-
34,33,+
34,45,+
34,25,+
35,22,+
35,8,+
35,11,+
35,23,+
36,15,+
36,22,+
36,49,-
36,45,-
36,11,+
36,39,+
39,36,+
36,21,+
21,36,+
36,58,+
58,36,+
36,45,-
45,36,-
36,11,+
11,36,+
37,39,+
37,50,+
37,56,+
39,37,+
39,45,-
37,21,+
21,37,+
37,21,+
21,37,+
37,7,-
7,37,-
37,11,+
11,37,+
37,45,-
45,37,-
38,1,-
1,38,-
38,40,-
40,38,-
38,41,-
41,38,-
41,39,+
38,45,+
45,38,+
38,39,-
39,38,-
40,39,+
39,40,+
40,31,+
31,40,+
40,1,+
1,40,+
40,38,-
38,40,-
40,45,-
45,40,-
40,41,+
41,40,+
41,45,-
45,41,-
41,47,+
47,41,+
42,39,-
39,42,-
42,21,-
21,42,-
42,21,-
21,42,-
42,11,-
11,42,-
42,45,-
45,42,-
43,45,-
43,43,-
43,44,+
44,43,+
44,45,-
43,45,-
45,43,-
46,39,-
39,46,-
46,11,-
11,46,-
47,39,+
39,47,+
47,21,+
21,47,+
47,21,+
21,47,+
42,11,+
11,42,+
47,41,+
41,47,+
47,45,-
45,47,-
48,31,+
48,45,-
31,48,+
49,39,-
39,49,-
49,21,-
21,49,-
49,21,-
21,49,-
49,11,-
11,49,-
49,18,+
18,49,+
50,21,+
50,1,+
50,11,+
50,33,-
50,39,+
21,50,+
50,51,+
51,50,+
50,52,+
52,50,+
50,53,+
53,50,+
50,54,+
54,50,+
50,54,+
54,50,+
50,55,+
55,50,+
50,57,+
57,50,+
51,39,+
51,45,-
51,21,+
21,51,+
50,51,+
51,50,+
51,52,+
52,51,+
51,53,+
53,51,+
51,54,+
54,51,+
51,54,+
54,51,+
51,55,+
55,51,+
51,57,+
57,51,+
52,21,+
52,39,+
21,52,+
50,52,+
52,50,+
52,53,+
53,52,+
52,54,+
54,52,+
52,54,+
52,45,-
54,52,+
52,55,+
55,52,+
52,57,+
57,52,+
53,21,+
53,31,+
53,38,-
53,39,+
53,45,-
53,47,+
53,50,+
53,51,+
53,52,+
53,54,+
53,55,+
53,56,+
53,57,+
53,58,+
54,21,+
54,31,+
54,38,-
54,39,+
54,45,-
54,47,+
54,50,+
54,51,+
54,52,+
54,53,+
54,55,+
54,56,+
54,57,+
54,58,+
55,21,+
55,31,+
